opaque_mode	panel	wait	hidden_assignments	scoring_assignments	qualifying_assignments	min_ron	max_ron	best_han	best_fu	best_yaku	example_hidden
faceup	3	3p	4	4	0	5800	11600	4	30	Yakuhai (haku), Dora 3	4p 5p 8s
faceup	3	4p	4	4	0	5800	11600	4	30	Yakuhai (haku), Dora 3	4p 5p 8s
faceup	3	5p	5	5	0	11600	11600	4	30	Yakuhai (haku), Dora 3	3p 4p 8s
faceup	3	6p	3	3	0	11600	11600	4	30	Yakuhai (haku), Dora 3	4p 5p 8s
faceup	3	7p	4	4	0	5800	11600	4	30	Yakuhai (haku), Dora 3	5p 6p 8s
faceup	3	8p	3	3	0	5800	11600	4	30	Yakuhai (haku), Dora 3	5p 8p 8s
faceup	3	2s	1	1	0	11600	11600	4	30	Yakuhai (haku), Dora 3	5p 2s 8s
faceup	3	4s	2	2	0	5800	11600	4	30	Yakuhai (haku), Dora 3	5p 4s 8s
faceup	3	5s	4	4	0	5800	11600	4	30	Yakuhai (haku), Dora 3	5p 6s 9s
faceup	3	6s	4	4	0	5800	11600	4	30	Yakuhai (haku), Dora 3	5p 5s 9s
faceup	3	7s	3	3	0	5800	11600	4	30	Yakuhai (haku), Dora 3	5p 7s 8s
faceup	3	8s	16	16	0	5800	11600	4	30	Yakuhai (haku), Dora 3	3p 4p 5p
faceup	3	9s	6	6	1	5800	12000	4	40	Yakuhai (haku), Dora 3	5p 7s 9s
faceup	3	S	1	1	0	11600	11600	4	30	Yakuhai (haku), Dora 3	5p 8s S
faceup	3	W	1	1	0	11600	11600	4	30	Yakuhai (haku), Dora 3	5p 8s W
faceup	3	N	1	1	0	11600	11600	4	30	Yakuhai (haku), Dora 3	5p 8s N
faceup	4	1m	1	1	0	9600	9600	4	25	Chiitoitsu, Dora 2	1m 7m 9m 6p
faceup	4	2m	1	1	0	9600	9600	4	25	Chiitoitsu, Dora 2	2m 7m 9m 6p
faceup	4	3m	1	1	0	9600	9600	4	25	Chiitoitsu, Dora 2	3m 7m 9m 6p
faceup	4	5m	1	1	0	9600	9600	4	25	Chiitoitsu, Dora 2	5m 7m 9m 6p
faceup	4	8m	2	2	0	9600	9600	3	50	Yakuhai (seat wind east), Yakuhai (round wind east), Dora 1	4p 5p 2s E
faceup	4	2p	1	1	0	9600	9600	4	25	Chiitoitsu, Dora 2	7m 9m 2p 6p
faceup	4	3p	1	1	0	9600	9600	4	25	Chiitoitsu, Dora 2	7m 9m 3p 6p
faceup	4	4p	2	2	0	9600	9600	3	50	Yakuhai (seat wind east), Yakuhai (round wind east), Dora 1	8m 5p 2s E
faceup	4	5p	4	4	1	3900	12000	4	40	Iipeiko, Yakuhai (seat wind east), Yakuhai (round wind east), Dora 1	8m 5p 6p E
faceup	4	6p	1	1	0	9600	9600	3	50	Yakuhai (seat wind east), Yakuhai (round wind east), Dora 1	8m 6p 2s E
faceup	4	7p	4	3	0	7700	9600	3	50	Yakuhai (seat wind east), Yakuhai (round wind east), Dora 1	8m 5p 2s E
faceup	4	8p	4	2	0	7700	7700	3	40	Yakuhai (seat wind east), Yakuhai (round wind east), Dora 1	8m 5p 6p E
faceup	4	9p	1	1	0	9600	9600	4	25	Chiitoitsu, Dora 2	7m 9m 6p 9p
faceup	4	2s	1	1	0	7700	7700	3	40	Yakuhai (seat wind east), Yakuhai (round wind east), Dora 1	8m 4p 5p E
faceup	4	3s	1	1	0	9600	9600	4	25	Chiitoitsu, Dora 2	7m 9m 6p 3s
faceup	4	5s	1	1	0	9600	9600	4	25	Chiitoitsu, Dora 2	7m 9m 6p 5s
faceup	4	6s	1	1	0	9600	9600	4	25	Chiitoitsu, Dora 2	7m 9m 6p 6s
faceup	4	7s	1	1	0	9600	9600	4	25	Chiitoitsu, Dora 2	7m 9m 6p 7s
faceup	4	8s	1	1	0	9600	9600	4	25	Chiitoitsu, Dora 2	7m 9m 6p 8s
faceup	4	9s	1	1	0	9600	9600	4	25	Chiitoitsu, Dora 2	7m 9m 6p 9s
faceup	4	E	1	1	0	7700	7700	3	40	Yakuhai (seat wind east), Yakuhai (round wind east), Dora 1	8m 4p 5p 2s
faceup	4	S	1	1	0	9600	9600	4	25	Chiitoitsu, Dora 2	7m 9m 6p S
faceup	4	W	1	1	0	9600	9600	4	25	Chiitoitsu, Dora 2	7m 9m 6p W
faceup	4	N	1	1	0	9600	9600	4	25	Chiitoitsu, Dora 2	7m 9m 6p N
faceup	4	C	1	1	0	9600	9600	4	25	Chiitoitsu, Dora 2	7m 9m 6p C
faceup	5	3m	2	2	0	2900	5800	2	60	Yakuhai (hatsu), Yakuhai (chun)	4m 1p F
faceup	5	4m	2	2	0	2900	6800	2	70	Yakuhai (hatsu), Yakuhai (chun)	3m 1p F
faceup	5	5m	3	3	0	2900	6800	2	70	Yakuhai (hatsu), Yakuhai (chun)	2p 3p F
faceup	5	6m	4	4	1	2900	12000	3	70	Yakuhai (hatsu), Yakuhai (chun), Dora 1	7m 1p F
faceup	5	1p	3	3	0	2900	6800	2	70	Yakuhai (hatsu), Yakuhai (chun)	3m 4m F
faceup	5	2p	2	2	0	2900	6800	2	70	Yakuhai (hatsu), Yakuhai (chun)	5m 3p F
faceup	5	3p	2	2	0	2900	6800	2	70	Yakuhai (hatsu), Yakuhai (chun)	5m 2p F
faceup	5	F	2	2	0	5800	5800	2	60	Yakuhai (hatsu), Yakuhai (chun)	3m 4m 1p
