ACCORDION 手风琴
CLICHE 陈词滥调
CLONE 克隆
COBALT 钴
COCKTAIL 鸡尾酒
COCOA 可可
COCONUT 椰子
COFFEE 咖啡
COGNAC 干邑
COLA 可乐
COLOGNE 古龙水
COLOGNE 科隆
COLOMBIA 哥伦比亚
CONFETTI 五彩纸屑
CONGO 刚果
COOKIE 曲奇
CORAL 珊瑚
CORIANDER 香菜
CORINTH 科林斯
COSSACK 哥萨克
COTTON 棉花
COUTURE 高定
CRACKER 苏打饼
CREPE 可丽饼
CROISSANT 可颂
CROUTON 面包丁
CRUISE 巡航
CRUMPET 烤饼
CRYSTAL 水晶
CUBA 古巴
CUCUMBER 黄瓜
CUPCAKE 纸杯蛋糕
CURRY 咖喱
CURTAIN 窗帘
CUSTARD 卡仕达
CYPRUS 塞浦路斯
DALLAS 达拉斯
DATE 枣
DEBUT 首秀
DECOR 装饰
DELPHI 德尔斐
DENIM 丹宁
DENMARK 丹麦
DENVER 丹佛
DEPOT 仓库
DESSERT 甜点
DETROIT 底特律
DIAMOND 钻石
DIESEL 柴油
DILEMMA 困境
DILL 莳萝
DINGHY 小艇
DISCO 迪斯科
DOCK 码头
DOLPHIN 海豚
DONUT 甜甜圈
DRESDEN 德累斯顿
DUBLIN 都柏林
DURIAN 榴莲
DYNAMITE 达纳炸药
DYNAMO 发电机
EASEL 画架
ECLAIR 闪电泡芙
ECUADOR 厄瓜多尔
EDEN 伊甸
EDINBURGH 爱丁堡
EGGPLANT 茄子
EGYPT 埃及
ELITE 精英
EMBARGO 禁运
ENAMEL 珐琅
ENCORE 安可
ENGINE 引擎
ESPRESSO 浓缩咖啡
FIASCO 惨败
FIESTA 节日
FIG 无花果
FIJI 斐济
FINLAND 芬兰
FITNESS 健身
FLAMINGO 火烈鸟
FLAN 布丁
FLORENCE 佛罗伦萨
FOCACCIA 佛卡夏
FRANCE 法兰西
FUDGE 软糖
GABON 加蓬
GARLIC 蒜
GEISHA 艺伎
GELATO 冰淇淋
GELATO 意式冰淇淋
GENE 基因
GENEVA 日内瓦
GENRE 类型
GERANIUM 天竺葵
GERMANY 德意志
GHANA 加纳
GHETTO 贫民窟
GINGER 生姜
GINGERBREAD 姜饼
GINKGO 银杏
GINSENG 人参
GIRAFFE 长颈鹿
GLITCH 故障
GONDOLA 贡多拉
GONG 锣
GORILLA 大猩猩
GOURMET 美食家
GRAFFITI 涂鸦
GRAMOPHONE 留声机
GRANITE 花岗岩
GRAPE 葡萄
GRAPEFRUIT 葡萄柚
GREECE 希腊
GRENADA 格林纳达
GUACAMOLE 鳄梨酱
GUATEMALA 危地马拉
GUAVA 番石榴
GUINEA 几内亚
GUITAR 吉他
GULAG 古拉格
GURU 古鲁
GYPSUM 石膏
HACKER 黑客
HAIKU 俳句
HAITI 海地
HAMBURG 汉堡
HAMBURGER 汉堡包
HAMSTER 仓鼠
HANOI 河内
HAZELNUT 榛子
HELIUM 氦气
HERMES 爱马仕
HOKKAIDO 北海道
HONDURAS 洪都拉斯
HOTEL 酒店
HOUSTON 休斯顿
HULA 呼拉
HUMOR 幽默
HUNGARY 匈牙利
HYACINTH 风信子
ICARUS 伊卡洛斯
ICELAND 冰岛
IGLOO 冰屋
INDIA 印度
INFLUENZA 流感
IRAN 伊朗
IRAQ 伊拉克
IRELAND 爱尔兰
ISRAEL 以色列
ITALY 意大利
JACKET 夹克
JAKARTA 雅加达
JAMAICA 牙买加
JAPAN 日本
JASMINE 茉莉
JAVA 爪哇
JAZZ 爵士
JERSEY 球衣
JERUSALEM 耶路撒冷
JORDAN 约旦
JUDO 柔道
JUMBO 巨型
JUNGLE 丛林
KANGAROO 袋鼠
KARACHI 卡拉奇
KARATE 空手道
KAYAK 皮划艇
KENYA 肯尼亚
KETCHUP 番茄酱
KHAKI 卡其
KIMCHI 泡菜
KIMONO 和服
KIWI 奇异果
KOALA 考拉
KOWTOW 叩头
KREMLIN 克里姆林
KUMQUAT 金橘
KUWAIT 科威特
KYOTO 京都
LABYRINTH 迷宫
LACQUER 漆器
LAGOON 泻湖
LAOS 老挝
LASAGNA 千层面
LASER 镭射
LATTE 拿铁
LAVA 熔岩
LAVENDER 薰衣草
LEBANON 黎巴嫩
LEI 花环
LEMON 柠檬
LEMONADE 柠檬水
LENTIL 扁豆
LEOPARD 猎豹
LETTUCE 生菜
LIBYA 利比亚
LILAC 丁香
LIME 青柠
LINGERIE 内衣
LIPSTICK 口红
LISBON 里斯本
LIVERPOOL 利物浦
LOAFER 乐福鞋
LOGIC 逻辑
LONGAN 龙眼
LOQUAT 枇杷
LOTION 乳液
LUAU 卢奥
LUXEMBOURG 卢森堡
LYCHEE 荔枝
MACARON 马卡龙
MACARONI 通心粉
MADRID 马德里
MAESTRO 大师
MAGAZINE 杂志
MAGNOLIA 木兰
MALARIA 疟疾
MALAWI 马拉维
MALAYSIA 马来西亚
MALDIVES 马尔代夫
MALI 马里
MALTA 马耳他
MAMBO 曼波
MANGA 漫画
MANGO 芒果
MANIFESTO 宣言
MANILA 马尼拉
MARATHON 马拉松
MARBLE 大理石
MARGARINE 人造黄油
MARIMBA 马林巴
MARSHMALLOW 棉花糖
MARTINI 马天尼
MARZIPAN 杏仁膏
MASCARA 睫毛膏
MATTRESS 床垫
MAYONNAISE 蛋黄酱
MELBOURNE 墨尔本
MELON 甜瓜
MEMPHIS 孟菲斯
MENU 菜单
MERCURY 水银
MESSIAH 弥赛亚
MEXICO 墨西哥
MIAMI 迈阿密
MICROPHONE 麦克风
MILAN 米兰
MILLET 小米
MINT 薄荷
MIRAGE 海市蜃楼
MISO 味噌
MOCCASIN 莫卡辛
MOCHA 摩卡
MODEM 调制解调器
MODERN 摩登
MONACO 摩纳哥
MONGOLIA 蒙古
MONSOON 季风
MOROCCO 摩洛哥
MORPHINE 吗啡
MOSAIC 马赛克
MOSCOW 莫斯科
MOSQUE 清真寺
MOSQUITO 蚊子
MOTEL 汽车旅馆
MOTOR 马达
MOTTO 座右铭
MOUSSE 慕斯
MOZZARELLA 马苏里拉
MUFFIN 玛芬
MUMMY 木乃伊
MUNICH 慕尼黑
MUSTARD 芥末
MYANMAR 缅甸
NAAN 馕
NACHO 玉米片
NAGASAKI 长崎
NAIROBI 内罗毕
NARCISSUS 水仙
NAURU 瑙鲁
NEPAL 尼泊尔
NICARAGUA 尼加拉瓜
NICHE 利基
NICKEL 镍
NICOTINE 尼古丁
NIGER 尼日尔
NIGERIA 尼日利亚
NINJA 忍者
NOODLE 面条
NORWAY 挪威
NOUGAT 牛轧糖
NYLON 尼龙
OASIS 绿洲
OBELISK 方尖碑
ODYSSEY 奥德赛
OKRA 秋葵
OLYMPIA 奥林匹亚
OMAN 阿曼
OMELETTE 煎蛋卷
ONION 洋葱
OOLONG 乌龙
OPAL 蛋白石
OPERA 歌剧
ORANGE 橙子
ORANGUTAN 猩猩
ORCHID 兰花
OREGANO 牛至
ORIGAMI 折纸
ORLANDO 奥兰多
OSAKA 大阪
OSTRICH 鸵鸟
PAELLA 西班牙海鲜饭
PAGODA 宝塔
PAJAMAS 睡衣
PAKISTAN 巴基斯坦
PALAU 帕劳
PANAMA 巴拿马
PANCAKE 松饼
PANINI 帕尼尼
PANTHER 黑豹
PAPAYA 木瓜
PAPRIKA 红椒粉
PAPYRUS 纸莎草
PARACHUTE 降落伞
PARADISE 天堂
PARAGUAY 巴拉圭
PARFAIT 芭菲
PARKA 派克大衣
PARMESAN 帕玛森
PARTY 派对
PASTA 意面
PATIO 露台
PEACH 桃子
PEANUT 花生
PEARL 珍珠
PECAN 山核桃
PELICAN 鹈鹕
PENGUIN 企鹅
PENICILLIN 盘尼西林
PEPPER 胡椒
PEPPERMINT 薄荷
PEPSI 百事
PERFUME 香水
PERU 秘鲁
PHARAOH 法老
PHILIPPINES 菲律宾
PIANO 钢琴
PIAZZA 广场
PICCOLO 短笛
PICNIC 野餐
PIE 派
PINEAPPLE 菠萝
PISTACHIO 开心果
PISTOL 手枪
PITA 皮塔
PIZZA 披萨
PLATEAU 高原
PLATINUM 铂金
PLAZA 广场
PLUM 李子
POI 芋泥
POLAND 波兰
POLKA 波尔卡
POLYESTER 涤纶
POMADE 发蜡
POMELO 柚子
PONCHO 斗篷
PORCELAIN 瓷器
POTATO 马铃薯
PRAGUE 布拉格
PRALINE 果仁糖
PRETZEL 椒盐卷饼
PROSCIUTTO 帕尔玛火腿
PROSECCO 普罗塞克
PROTEGE 门徒
PROTEIN 蛋白质
PRUNE 李干
PUDDING 布丁
PUEBLO 村落
PUMPKIN 南瓜
PUNCH 潘趣酒
PYRAMID 金字塔
QATAR 卡塔尔
QUARANTINE 隔离
QUARTZ 石英
QUICHE 法式咸派
QUINOA 藜麦
RADAR 雷达
RADIO 收音机
RAISIN 葡萄干
RAMBUTAN 红毛丹
RAMEN 拉面
RATTAN 藤
RAVIOLI 意式饺子
RAYON 人造丝
REGATTA 帆船赛
REPLICA 复制品
RESTAURANT 餐厅
RESUME 简历
RICKSHAW 人力车
RICOTTA 里科塔
RISOTTO 烩饭
RODEO 竞技
ROMANIA 罗马尼亚
ROMANTIC 浪漫
ROSEMARY 迷迭香
RUBY 红宝石
RUCKSACK 背包
RUMBA 伦巴
RUSSIA 俄罗斯
SAFARI 游猎
SAFFRON 藏红花
SAGE 鼠尾草
SAHARA 撒哈拉
SAIGON 西贡
SAKE 清酒
SAKURA 樱花
SALAD 沙拉
SALAMI 萨拉米
SALON 沙龙
SALSA 莎莎
SAMBA 桑巴
SAMOA 萨摩亚
SAMPAN 舢板
SAMURAI 武士
SANDAL 凉鞋
SANDWICH 三明治
SANGRIA 桑格利亚
SANTIAGO 圣地亚哥
SARI 纱丽
SARONG 纱笼
SASHIMI 刺身
SATIN 缎子
SAUNA 桑拿
SAUSAGE 香肠
SAXOPHONE 萨克斯风
SAYONARA 再见
SCENARIO 情景
SCONE 司康
SEATTLE 西雅图
SEMINAR 研讨会
SEOUL 首尔
SEQUIN 亮片
SESAME 芝麻
SHAMPOO 香波
SHOCK 休克
SIERRA 山脉
SIESTA 午睡
SILHOUETTE 剪影
SINGAPORE 新加坡
SLOVAKIA 斯洛伐克
SNEAKER 运动鞋
SODA 苏打
SOFA 沙发
SOLO 独奏
SOMALIA 索马里
SONAR 声纳
SONATA 奏鸣曲
SOPRANO 女高音
SORBET 雪葩
SORGHUM 高粱
SOUFFLE 舒芙蕾
SOUVENIR 纪念品
SOVIET 苏维埃
SOYBEAN 大豆
SPAGHETTI 意大利面
SPAIN 西班牙
SPARTA 斯巴达
SPHINX 斯芬克斯
SPINACH 菠菜
SPRINT 冲刺
SPRITE 雪碧
SPUTNIK 斯普特尼克
SRILANKA 斯里兰卡
STAMINA 耐力
STANZA 诗节
STILETTO 细高跟
STOCKHOLM 斯德哥尔摩
STRAWBERRY 草莓
STRUDEL 苏芙蕾
STUDIO 工作室
SUDAN 苏丹
SUEDE 麂皮
SULFUR 硫磺
SUMATRA 苏门答腊
SUMO 相扑
SUSHI 寿司
SWEATER 毛衣
SWEDEN 瑞典
SYDNEY 悉尼
SYRIA 叙利亚
TABOO 禁忌
TACO 塔可
TAIWAN 台湾
TALC 滑石
TALCUM 爽身粉
TANGO 探戈
TANZANIA 坦桑尼亚
TAPAS 小食
TAPIOCA 木薯粉
TAROT 塔罗
TART 塔
TATTOO 纹身
TEHRAN 德黑兰
TEMPO 节奏
TEMPURA 天妇罗
TEQUILA 龙舌兰
THAILAND 泰国
THUG 暴徒
THYME 百里香
TIMOR 帝汶
TIRAMISU 提拉米苏
TITANIUM 钛
TOAST 吐司
TOFFEE 太妃糖
TOFU 豆腐
TOGO 多哥
TOMATO 番茄
TONGA 汤加
TOPAZ 黄玉
TORNADO 龙卷风
TORONTO 多伦多
TORSO 躯干
TORTILLA 玉米饼
TOTEM 图腾
TRAFFIC 交通
TRIFLE 屈莱弗
TRUFFLE 松露
TRUMPET 小号
TSAR 沙皇
TSETSE 采采蝇
TSUNAMI 海啸
TULIP 郁金香
TUNA 金枪鱼
TUNDRA 苔原
TUNIC 束腰
TUNISIA 突尼斯
TURKEY 土耳其
TURMERIC 姜黄
TUVALU 图瓦卢
TWEED 粗花呢
TYCOON 大亨
TYPHOON 台风
UDON 乌冬
UGANDA 乌干达
UKULELE 尤克里里
UMBRELLA 雨伞
UNIQLO 优衣库
URANIUM 铀
URUGUAY 乌拉圭
VANCOUVER 温哥华
VANILLA 香草
VANUATU 瓦努阿图
VELVET 天鹅绒
VENICE 威尼斯
VERANDA 阳台
VIENNA 维也纳
VIETNAM 越南
VILLA 别墅
VINEGAR 醋
VIOLIN 小提琴
VIRTUOSO 大师
VISTA 远景
VITAMIN 维他命
VODKA 伏特加
VOGUE 时尚
VOLCANO 火山
VOODOO 巫毒
WAFER 威化
WAFFLE 华夫饼
WALNUT 核桃
WALTZ 华尔兹
WARSAW 华沙
WASABI 山葵
WATERMELON 西瓜
WHISKEY 威士忌
WHISKY 威士忌
WONTON 馄饨
YACHT 游艇
YAM 山药
YEMEN 也门
YOGA 瑜伽
YOGURT 酸奶
YUCCA 丝兰
ZAMBIA 赞比亚
ZEBRA 斑马
ZIMBABWE 津巴布韦
ZOMBIE 僵尸
ZUCCHINI 西葫芦
ZURICH 苏黎世
