id	row	index	letter	x	y	bloom	petal	neighbors
C17	C	17	D	816.00	264.50	C-D-3	NE	C16,C18,D17
C18	C	18	L	856.00	241.00	B-C-4	SW	B18,C17,C19
C19	C	19	A	896.00	264.50	B-C-4	S	C18,C20,D19
C20	C	20	M	936.00	241.00	B-C-4	SE	B20,C19
D00	D	0	U	136.00	335.00	D-E-1	NW	D01,E00
D01	D	1	P	176.00	311.50	D-E-1	N	C01,D00,D02
D02	D	2	L	216.00	335.00	D-E-1	NE	D01,D03,E02
D03	D	3	O	256.00	311.50	C-D-1	SW	C03,D02,D04
D04	D	4	A	296.00	335.00	C-D-1	S	D03,D05,E04
D05	D	5	D	336.00	311.50	C-D-1	SE	C05,D04,D06
D06	D	6	T	376.00	335.00	D-E-2	NW	D05,D07,E06
D07	D	7	O	416.00	311.50	D-E-2	N	C07,D06,D08
D08	D	8	R	456.00	335.00	D-E-2	NE	D07,D09,E08
D09	D	9	N	496.00	311.50	C-D-2	SW	C09,D08,D10
D10	D	10	A	536.00	335.00	C-D-2	S	D09,D11,E10
D11	D	11	D	576.00	311.50	C-D-2	SE	C11,D10,D12
D12	D	12	O	616.00	335.00	D-E-3	NW	D11,D13,E12
D13	D	13	T	656.00	311.50	D-E-3	N	C13,D12,D14
D14	D	14	R	696.00	335.00	D-E-3	NE	D13,D15,E14
D15	D	15	O	736.00	311.50	C-D-3	SW	C15,D14,D16
D16	D	16	O	776.00	335.00	C-D-3	S	D15,D17,E16
D17	D	17	P	816.00	311.50	C-D-3	SE	C17,D16,D18
D18	D	18	L	856.00	335.00	D-E-4	NW	D17,D19,E18
D19	D	19	U	896.00	311.50	D-E-4	N	C19,D18,D20
D20	D	20	A	936.00	335.00	D-E-4	NE	D19,E20
E00	E	0	O	136.00	382.00	D-E-1	SW	D00,E01
E01	E	1	C	176.00	405.50	D-E-1	S	E00,E02,F01
E02	E	2	E	216.00	382.00	D-E-1	SE	D02,E01,E03
E03	E	3	X	256.00	405.50	E-F-1	NW	E02,E04,F03
E04	E	4	S	296.00	382.00	E-F-1	N	D04,E03,E05
E05	E	5	A	336.00	405.50	E-F-1	NE	E04,E06,F05
E06	E	6	N	376.00	382.00	D-E-2	SW	D06,E05,E07
E07	E	7	E	416.00	405.50	D-E-2	S	E06,E08,F07
E08	E	8	I	456.00	382.00	D-E-2	SE	D08,E07,E09
E09	E	9	M	496.00	405.50	E-F-2	NW	E08,E10,F09
E10	E	10	O	536.00	382.00	E-F-2	N	D10,E09,E11
E11	E	11	T	576.00	405.50	E-F-2	NE	E10,E12,F11
E12	E	12	O	616.00	382.00	D-E-3	SW	D12,E11,E13
E13	E	13	B	656.00	405.50	D-E-3	S	E12,E14,F13
E14	E	14	E	696.00	382.00	D-E-3	SE	D14,E13,E15
E15	E	15	T	736.00	405.50	E-F-3	NW	E14,E16,F15
E16	E	16	E	776.00	382.00	E-F-3	N	D16,E15,E17
E17	E	17	N	816.00	405.50	E-F-3	NE	E16,E18,F17
E18	E	18	A	856.00	382.00	D-E-4	SW	D18,E17,E19
E19	E	19	N	896.00	405.50	D-E-4	S	E18,E20,F19
E20	E	20	T	936.00	382.00	D-E-4	SE	D20,E19
F00	F	0	P	136.00	476.00	F-G-1	NW	F01,G00
F01	F	1	A	176.00	452.50	F-G-1	N	E01,F00,F02
F02	F	2	T	216.00	476.00	F-G-1	NE	F01,F03,G02
F03	F	3	H	256.00	452.50	E-F-1	SW	E03,F02,F04
F04	F	4	O	296.00	476.00	E-F-1	S	F03,F05,G04
F05	F	5	S	336.00	452.50	E-F-1	SE	E05,F04,F06
F06	F	6	I	376.00	476.00	F-G-2	NW	F05,F07,G06
F07	F	7	R	416.00	452.50	F-G-2	N	E07,F06,F08
F08	F	8	I	456.00	476.00	F-G-2	NE	F07,F09,G08
F09	F	9	S	496.00	452.50	E-F-2	SW	E09,F08,F10
F10	F	10	R	536.00	476.00	E-F-2	S	F09,F11,G10
F11	F	11	O	576.00	452.50	E-F-2	SE	E11,F10,F12
F12	F	12	H	616.00	476.00	F-G-3	NW	F11,F13,G12
F13	F	13	I	656.00	452.50	F-G-3	N	E13,F12,F14
F14	F	14	T	696.00	476.00	F-G-3	NE	F13,F15,G14
F15	F	15	O	736.00	452.50	E-F-3	SW	E15,F14,F16
F16	F	16	P	776.00	476.00	E-F-3	S	F15,F17,G16
F17	F	17	T	816.00	452.50	E-F-3	SE	E17,F16,F18
F18	F	18	I	856.00	476.00	F-G-4	NW	F17,F19,G18
F19	F	19	C	896.00	452.50	F-G-4	N	E19,F18,F20
F20	F	20	S	936.00	476.00	F-G-4	NE	F19,G20
G00	G	0	M	136.00	523.00	F-G-1	SW	F00,G01
G01	G	1	O	176.00	546.50	F-G-1	S	G00,G02,H01
G02	G	2	C	216.00	523.00	F-G-1	SE	F02,G01,G03
G03	G	3	A	256.00	546.50	G-H-1	NW	G02,G04,H03
G04	G	4	U	296.00	523.00	G-H-1	N	F04,G03,G05
G05	G	5	S	336.00	546.50	G-H-1	NE	G04,G06,H05
G06	G	6	U	376.00	523.00	F-G-2	SW	F06,G05,G07
G07	G	7	S	416.00	546.50	F-G-2	S	G06,G08,H07
G08	G	8	S	456.00	523.00	F-G-2	SE	F08,G07,G09
G09	G	9	G	496.00	546.50	G-H-2	NW	G08,G10,H09
G10	G	10	I	536.00	523.00	G-H-2	N	F10,G09,G11
G11	G	11	E	576.00	546.50	G-H-2	NE	G10,G12,H11
G12	G	12	P	616.00	523.00	F-G-3	SW	F12,G11,G13
G13	G	13	O	656.00	546.50	F-G-3	S	G12,G14,H13
G14	G	14	P	696.00	523.00	F-G-3	SE	F14,G13,G15
G15	G	15	U	736.00	546.50	G-H-3	NW	G14,G16,H15
G16	G	16	L	776.00	523.00	G-H-3	N	F16,G15,G17
G17	G	17	A	816.00	546.50	G-H-3	NE	G16,G18,H17
G18	G	18	R	856.00	523.00	F-G-4	SW	F18,G17,G19
G19	G	19	E	896.00	546.50	F-G-4	S	G18,G20,H19
G20	G	20	T	936.00	523.00	F-G-4	SE	F20,G19
H00	H	0	A	136.00	617.00	H-I-1	NW	H01,I00
H01	H	1	N	176.00	593.50	H-I-1	N	G01,H00,H02
H02	H	2	I	216.00	617.00	H-I-1	NE	H01,H03,I02
H03	H	3	N	256.00	593.50	G-H-1	SW	G03,H02,H04
H04	H	4	A	296.00	617.00	G-H-1	S	H03,H05,I04
H05	H	5	E	336.00	593.50	G-H-1	SE	G05,H04,H06
H06	H	6	S	376.00	617.00	H-I-2	NW	H05,H07,I06
H07	H	7	U	416.00	593.50	H-I-2	N	G07,H06,H08
H08	H	8	C	456.00	617.00	H-I-2	NE	H07,H09,I08
H09	H	9	H	496.00	593.50	G-H-2	SW	G09,H08,H10
H10	H	10	T	536.00	617.00	G-H-2	S	H09,H11,I10
H11	H	11	H	576.00	593.50	G-H-2	SE	G11,H10,H12
H12	H	12	O	616.00	617.00	H-I-3	NW	H11,H13,I12
H13	H	13	M	656.00	593.50	H-I-3	N	G13,H12,H14
H14	H	14	S	696.00	617.00	H-I-3	NE	H13,H15,I14
H15	H	15	M	736.00	593.50	G-H-3	SW	G15,H14,H16
H16	H	16	A	776.00	617.00	G-H-3	S	H15,H17,I16
H17	H	17	R	816.00	593.50	G-H-3	SE	G17,H16,H18
H18	H	18	T	856.00	617.00	H-I-4	NW	H17,H19,I18
H19	H	19	E	896.00	593.50	H-I-4	N	G19,H18,H20
H20	H	20	R	936.00	617.00	H-I-4	NE	H19,I20
I00	I	0	P	136.00	664.00	H-I-1	SW	H00,I01
I01	I	1	O	176.00	687.50	H-I-1	S	I00,I02,J01
I02	I	2	L	216.00	664.00	H-I-1	SE	H02,I01,I03
I03	I	3	I	256.00	687.50	I-J-1	NW	I02,I04,J03
I04	I	4	S	296.00	664.00	I-J-1	N	H04,I03,I05
I05	I	5	H	336.00	687.50	I-J-1	NE	I04,I06,J05
I06	I	6	T	376.00	664.00	H-I-2	SW	H06,I05,I07
I07	I	7	E	416.00	687.50	H-I-2	S	I06,I08,J07
I08	I	8	H	456.00	664.00	H-I-2	SE	H08,I07,I09
I09	I	9	I	496.00	687.50	I-J-2	NW	I08,I10,J09
I10	I	10	T	536.00	664.00	I-J-2	N	H10,I09,I11
I11	I	11	O	576.00	687.50	I-J-2	NE	I10,I12,J11
I12	I	12	O	616.00	664.00	H-I-3	SW	H12,I11,I13
I13	I	13	L	656.00	687.50	H-I-3	S	I12,I14,J13
I14	I	14	B	696.00	664.00	H-I-3	SE	H14,I13,I15
I15	I	15	E	736.00	687.50	I-J-3	NW	I14,I16,J15
I16	I	16	L	776.00	664.00	I-J-3	N	H16,I15,I17
I17	I	17	E	816.00	687.50	I-J-3	NE	I16,I18,J17
I18	I	18	M	856.00	664.00	H-I-4	SW	H18,I17,I19
I19	I	19	U	896.00	687.50	H-I-4	S	I18,I20,J19
I20	I	20	S	936.00	664.00	H-I-4	SE	H20,I19
J00	J	0	C	136.00	758.00	J-K-1	NW	J01,K00
J01	J	1	A	176.00	734.50	J-K-1	N	I01,J00,J02
J02	J	2	N	216.00	758.00	J-K-1	NE	J01,J03,K02
J03	J	3	L	256.00	734.50	I-J-1	SW	I03,J02,J04
J04	J	4	E	296.00	758.00	I-J-1	S	J03,J05,K04
J05	J	5	R	336.00	734.50	I-J-1	SE	I05,J04,J06
J06	J	6	O	376.00	758.00	J-K-2	NW	J05,J07,K06
J07	J	7	K	416.00	734.50	J-K-2	N	I07,J06,J08
J08	J	8	I	456.00	758.00	J-K-2	NE	J07,J09,K08
J09	J	9	H	496.00	734.50	I-J-2	SW	I09,J08,J10
J10	J	10	I	536.00	758.00	I-J-2	S	J09,J11,K10
J11	J	11	M	576.00	734.50	I-J-2	SE	I11,J10,J12
J12	J	12	M	616.00	758.00	J-K-3	NW	J11,J13,K12
J13	J	13	A	656.00	734.50	J-K-3	N	I13,J12,J14
J14	J	14	I	696.00	758.00	J-K-3	NE	J13,J15,K14
J15	J	15	H	736.00	734.50	I-J-3	SW	I15,J14,J16
J16	J	16	A	776.00	758.00	I-J-3	S	J15,J17,K16
J17	J	17	N	816.00	734.50	I-J-3	SE	I17,J16,J18
J18	J	18	D	856.00	758.00	J-K-4	NW	J17,J19,K18
J19	J	19	E	896.00	734.50	J-K-4	N	I19,J18,J20
J20	J	20	L	936.00	758.00	J-K-4	NE	J19,K20
K00	K	0	A	136.00	805.00	J-K-1	SW	J00,K01
K01	K	1	D	176.00	828.50	J-K-1	S	K00,K02
K02	K	2	A	216.00	805.00	J-K-1	SE	J02,K01,K03
K03	K	3	M	256.00	828.50	K-L-1	NW	K02,K04,L00
K04	K	4	E	296.00	805.00	K-L-1	N	J04,K03,K05
K05	K	5	C	336.00	828.50	K-L-1	NE	K04,K06,L02
K06	K	6	L	376.00	805.00	J-K-2	SW	J06,K05,K07
K07	K	7	I	416.00	828.50	J-K-2	S	K06,K08
K08	K	8	N	456.00	805.00	J-K-2	SE	J08,K07,K09
K09	K	9	E	496.00	828.50	K-L-2	NW	K08,K10,L03
K10	K	10	N	536.00	805.00	K-L-2	N	J10,K09,K11
K11	K	11	C	576.00	828.50	K-L-2	NE	K10,K12,L05
K12	K	12	O	616.00	805.00	J-K-3	SW	J12,K11,K13
K13	K	13	D	656.00	828.50	J-K-3	S	K12,K14
K14	K	14	N	696.00	805.00	J-K-3	SE	J14,K13,K15
K15	K	15	O	736.00	828.50	K-L-3	NW	K14,K16,L06
K16	K	16	V	776.00	805.00	K-L-3	N	J16,K15,K17
K17	K	17	O	816.00	828.50	K-L-3	NE	K16,K18,L08
K18	K	18	C	856.00	805.00	J-K-4	SW	J18,K17,K19
K19	K	19	A	896.00	828.50	J-K-4	S	K18,K20
K20	K	20	L	936.00	805.00	J-K-4	SE	J20,K19
L00	L	0	E	256.00	875.50	K-L-1	SW	K03,L01
L01	L	1	N	296.00	899.00	K-L-1	S	L00,L02
L02	L	2	A	336.00	875.50	K-L-1	SE	K05,L01
L03	L	3	H	496.00	875.50	K-L-2	SW	K09,L04
L04	L	4	W	536.00	899.00	K-L-2	S	L03,L05
L05	L	5	E	576.00	875.50	K-L-2	SE	K11,L04
L06	L	6	I	736.00	875.50	K-L-3	SW	K15,L07
L07	L	7	D	776.00	899.00	K-L-3	S	L06,L08
L08	L	8	S	816.00	875.50	K-L-3	SE	K17,L07
