table	label	row	column	text	color	borders	classes
table-1	Emoji 塔	18	4	⬆️			
table-1	Emoji 塔	18	5	❓️			
table-1	Emoji 塔	18	6	❓️			
table-1	Emoji 塔	18	7	↩️			
table-1	Emoji 塔	18	8	🙂‍↕️			
table-1	Emoji 塔	18	9	➡️			
table-1	Emoji 塔	19	1				
table-1	Emoji 塔	19	2				
table-1	Emoji 塔	19	3				
table-1	Emoji 塔	19	4	🏢			
table-1	Emoji 塔	19	5	🏳️			
table-1	Emoji 塔	19	6	❓️			
table-1	Emoji 塔	19	7	🫲			
table-1	Emoji 塔	19	8	↩️			
table-1	Emoji 塔	19	9	✔️			
table-1	Emoji 塔	20	1				
table-1	Emoji 塔	20	2				
table-1	Emoji 塔	20	3	🕺			
table-1	Emoji 塔	20	4	➖️			
table-1	Emoji 塔	20	5	🎨			
table-1	Emoji 塔	20	6	❓️			
table-1	Emoji 塔	20	7	➕️			
table-1	Emoji 塔	20	8	🏃‍♂️			
table-1	Emoji 塔	20	9	✔️			
table-1	Emoji 塔	21	1				
table-1	Emoji 塔	21	2				
table-1	Emoji 塔	21	3	📅			
table-1	Emoji 塔	21	4	⛓️‍💥			
table-1	Emoji 塔	21	5	💧			
table-1	Emoji 塔	21	6	❓️			
table-1	Emoji 塔	21	7	🏢			
table-1	Emoji 塔	21	8	🏢			
table-1	Emoji 塔	21	9	✔️			
table-1	Emoji 塔	22	1				
table-1	Emoji 塔	22	2				
table-1	Emoji 塔	22	3	🏢			
table-1	Emoji 塔	22	4	🎨			
table-1	Emoji 塔	22	5	➡️			
table-1	Emoji 塔	22	6	❓️			
table-1	Emoji 塔	22	7	↩️			
table-1	Emoji 塔	22	8	😢			
table-1	Emoji 塔	22	9	✔️			
table-1	Emoji 塔	23	1				
table-1	Emoji 塔	23	2	🍎			
table-1	Emoji 塔	23	3	❌️			
table-1	Emoji 塔	23	4	🙋‍♂️			
table-1	Emoji 塔	23	5	🏢			
table-1	Emoji 塔	23	6	🐰			
table-1	Emoji 塔	23	7	↘️			
table-1	Emoji 塔	23	8	🐰			
table-1	Emoji 塔	23	9	✔️			
table-1	Emoji 塔	24	1				
table-1	Emoji 塔	24	2	🐪			
table-1	Emoji 塔	24	3	🤩			
table-1	Emoji 塔	24	4	🕺			
table-1	Emoji 塔	24	5	😢			
table-1	Emoji 塔	24	6	🏢			
table-1	Emoji 塔	24	7	↙️			
table-1	Emoji 塔	24	8	😣			
table-1	Emoji 塔	24	9	✔️			
table-1	Emoji 塔	25	1	❌️			
table-1	Emoji 塔	25	2	😣			
table-1	Emoji 塔	25	3	📅			
table-1	Emoji 塔	25	4	🦍			
table-1	Emoji 塔	25	5	🫥			
table-1	Emoji 塔	25	6	❌️			
table-1	Emoji 塔	25	7	🔡			
table-1	Emoji 塔	25	8	🏳️			
table-1	Emoji 塔	25	9	❓️			
table-1	Emoji 塔	26	1	🎨			
table-1	Emoji 塔	26	2	🏢			
table-1	Emoji 塔	26	3	🪪			
table-1	Emoji 塔	26	4	🍀			
table-1	Emoji 塔	26	5	✅️			
table-1	Emoji 塔	26	6	🎨			
table-1	Emoji 塔	26	7	😄			
table-1	Emoji 塔	26	8	😔			
table-1	Emoji 塔	26	9	🏢			
table-1	Emoji 塔	27	1	🏢		B	c17-emoji-bb
table-1	Emoji 塔	27	2	👨‍👩‍👧‍👦		B	c17-emoji-bb
table-1	Emoji 塔	27	3	👀		B	c17-emoji-bb
table-1	Emoji 塔	27	4	🏆️		B	c17-emoji-bb
table-1	Emoji 塔	27	5	🖥️		B	c17-emoji-bb
table-1	Emoji 塔	27	6	🚊		B	c17-emoji-bb
table-1	Emoji 塔	27	7	🎨		B	c17-emoji-bb
table-1	Emoji 塔	27	8	🔡		B	c17-emoji-bb
table-1	Emoji 塔	27	9	🎨		B	c17-emoji-bb
table-2	Emoji 塔下方图形与答案区域	1	1				
table-2	Emoji 塔下方图形与答案区域	1	2				
table-2	Emoji 塔下方图形与答案区域	1	3			TL	c17-emoji-bt c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	1	4			T	c17-emoji-bt
table-2	Emoji 塔下方图形与答案区域	1	5			T	c17-emoji-bt
table-2	Emoji 塔下方图形与答案区域	1	6			T	c17-emoji-bt
table-2	Emoji 塔下方图形与答案区域	1	7			TR	c17-emoji-bt c17-emoji-br
table-2	Emoji 塔下方图形与答案区域	1	8				
table-2	Emoji 塔下方图形与答案区域	1	9				
table-2	Emoji 塔下方图形与答案区域	1	10				
table-2	Emoji 塔下方图形与答案区域	1	11				
table-2	Emoji 塔下方图形与答案区域	1	12				
table-2	Emoji 塔下方图形与答案区域	1	13				
table-2	Emoji 塔下方图形与答案区域	2	1				
table-2	Emoji 塔下方图形与答案区域	2	2				
table-2	Emoji 塔下方图形与答案区域	2	3			L	c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	2	4		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	2	5		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	2	6		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	2	7			R	c17-emoji-br
table-2	Emoji 塔下方图形与答案区域	2	8				
table-2	Emoji 塔下方图形与答案区域	2	9				
table-2	Emoji 塔下方图形与答案区域	2	10				
table-2	Emoji 塔下方图形与答案区域	2	11				
table-2	Emoji 塔下方图形与答案区域	2	12				
table-2	Emoji 塔下方图形与答案区域	2	13				
table-2	Emoji 塔下方图形与答案区域	3	1				
table-2	Emoji 塔下方图形与答案区域	3	2				
table-2	Emoji 塔下方图形与答案区域	3	3			L	c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	3	4		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	3	5		pink	TRBL	c17-emoji-pink c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	3	6		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	3	7			R	c17-emoji-br
table-2	Emoji 塔下方图形与答案区域	3	8				
table-2	Emoji 塔下方图形与答案区域	3	9				
table-2	Emoji 塔下方图形与答案区域	3	10				
table-2	Emoji 塔下方图形与答案区域	3	11				
table-2	Emoji 塔下方图形与答案区域	3	12				
table-2	Emoji 塔下方图形与答案区域	3	13				
table-2	Emoji 塔下方图形与答案区域	4	1				
table-2	Emoji 塔下方图形与答案区域	4	2				
table-2	Emoji 塔下方图形与答案区域	4	3			L	c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	4	4		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	4	5		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	4	6		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	4	7			R	c17-emoji-br
table-2	Emoji 塔下方图形与答案区域	4	8				
table-2	Emoji 塔下方图形与答案区域	4	9				
table-2	Emoji 塔下方图形与答案区域	4	10				
table-2	Emoji 塔下方图形与答案区域	4	11				
table-2	Emoji 塔下方图形与答案区域	4	12				
table-2	Emoji 塔下方图形与答案区域	4	13				
table-2	Emoji 塔下方图形与答案区域	5	1				
table-2	Emoji 塔下方图形与答案区域	5	2				
table-2	Emoji 塔下方图形与答案区域	5	3			L	c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	5	4		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	5	5		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	5	6				
table-2	Emoji 塔下方图形与答案区域	5	7			R	c17-emoji-br
table-2	Emoji 塔下方图形与答案区域	5	8				
table-2	Emoji 塔下方图形与答案区域	5	9				
table-2	Emoji 塔下方图形与答案区域	5	10				
table-2	Emoji 塔下方图形与答案区域	5	11				
table-2	Emoji 塔下方图形与答案区域	5	12				
table-2	Emoji 塔下方图形与答案区域	5	13				
table-2	Emoji 塔下方图形与答案区域	6	1				
table-2	Emoji 塔下方图形与答案区域	6	2				
table-2	Emoji 塔下方图形与答案区域	6	3			L	c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	6	4				
table-2	Emoji 塔下方图形与答案区域	6	5				
table-2	Emoji 塔下方图形与答案区域	6	6				
table-2	Emoji 塔下方图形与答案区域	6	7			R	c17-emoji-br
table-2	Emoji 塔下方图形与答案区域	6	8				
table-2	Emoji 塔下方图形与答案区域	6	9				
table-2	Emoji 塔下方图形与答案区域	6	10				
table-2	Emoji 塔下方图形与答案区域	6	11				
table-2	Emoji 塔下方图形与答案区域	6	12				
table-2	Emoji 塔下方图形与答案区域	6	13				
table-2	Emoji 塔下方图形与答案区域	7	1				
table-2	Emoji 塔下方图形与答案区域	7	2				
table-2	Emoji 塔下方图形与答案区域	7	3			L	c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	7	4		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	7	5		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	7	6		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	7	7				
table-2	Emoji 塔下方图形与答案区域	7	8			TR	c17-emoji-bt c17-emoji-br
table-2	Emoji 塔下方图形与答案区域	7	9				
table-2	Emoji 塔下方图形与答案区域	7	10				
table-2	Emoji 塔下方图形与答案区域	7	11				
table-2	Emoji 塔下方图形与答案区域	7	12				
table-2	Emoji 塔下方图形与答案区域	7	13				
table-2	Emoji 塔下方图形与答案区域	8	1				
table-2	Emoji 塔下方图形与答案区域	8	2				
table-2	Emoji 塔下方图形与答案区域	8	3			BL	c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	8	4			B	c17-emoji-bb
table-2	Emoji 塔下方图形与答案区域	8	5				
table-2	Emoji 塔下方图形与答案区域	8	6				
table-2	Emoji 塔下方图形与答案区域	8	7		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	8	8			R	c17-emoji-br
table-2	Emoji 塔下方图形与答案区域	8	9				
table-2	Emoji 塔下方图形与答案区域	8	10				
table-2	Emoji 塔下方图形与答案区域	8	11				
table-2	Emoji 塔下方图形与答案区域	8	12				
table-2	Emoji 塔下方图形与答案区域	8	13				
table-2	Emoji 塔下方图形与答案区域	9	1				
table-2	Emoji 塔下方图形与答案区域	9	2				
table-2	Emoji 塔下方图形与答案区域	9	3				
table-2	Emoji 塔下方图形与答案区域	9	4				
table-2	Emoji 塔下方图形与答案区域	9	5			L	c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	9	6		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	9	7		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	9	8			R	c17-emoji-br
table-2	Emoji 塔下方图形与答案区域	9	9				
table-2	Emoji 塔下方图形与答案区域	9	10				
table-2	Emoji 塔下方图形与答案区域	9	11				
table-2	Emoji 塔下方图形与答案区域	9	12				
table-2	Emoji 塔下方图形与答案区域	9	13				
table-2	Emoji 塔下方图形与答案区域	10	1				
table-2	Emoji 塔下方图形与答案区域	10	2				
table-2	Emoji 塔下方图形与答案区域	10	3				
table-2	Emoji 塔下方图形与答案区域	10	4				
table-2	Emoji 塔下方图形与答案区域	10	5			BL	c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	10	6			B	c17-emoji-bb
table-2	Emoji 塔下方图形与答案区域	10	7			B	c17-emoji-bb
table-2	Emoji 塔下方图形与答案区域	10	8			RB	c17-emoji-br c17-emoji-bb
table-2	Emoji 塔下方图形与答案区域	10	9				
table-2	Emoji 塔下方图形与答案区域	10	10				
table-2	Emoji 塔下方图形与答案区域	10	11				
table-2	Emoji 塔下方图形与答案区域	10	12				
table-2	Emoji 塔下方图形与答案区域	10	13				
table-2	Emoji 塔下方图形与答案区域	11	1				
table-2	Emoji 塔下方图形与答案区域	11	2				
table-2	Emoji 塔下方图形与答案区域	11	3				
table-2	Emoji 塔下方图形与答案区域	11	4				
table-2	Emoji 塔下方图形与答案区域	11	5			L	c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	11	6				
table-2	Emoji 塔下方图形与答案区域	11	7				
table-2	Emoji 塔下方图形与答案区域	11	8			T	c17-emoji-bt
table-2	Emoji 塔下方图形与答案区域	11	9			T	c17-emoji-bt
table-2	Emoji 塔下方图形与答案区域	11	10			T	c17-emoji-bt
table-2	Emoji 塔下方图形与答案区域	11	11			TR	c17-emoji-bt c17-emoji-br
table-2	Emoji 塔下方图形与答案区域	11	12				
table-2	Emoji 塔下方图形与答案区域	11	13				
table-2	Emoji 塔下方图形与答案区域	12	1				
table-2	Emoji 塔下方图形与答案区域	12	2				
table-2	Emoji 塔下方图形与答案区域	12	3				
table-2	Emoji 塔下方图形与答案区域	12	4				
table-2	Emoji 塔下方图形与答案区域	12	5			L	c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	12	6		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	12	7		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	12	8				
table-2	Emoji 塔下方图形与答案区域	12	9		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	12	10		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	12	11			R	c17-emoji-br
table-2	Emoji 塔下方图形与答案区域	12	12				
table-2	Emoji 塔下方图形与答案区域	12	13				
table-2	Emoji 塔下方图形与答案区域	13	1				
table-2	Emoji 塔下方图形与答案区域	13	2				
table-2	Emoji 塔下方图形与答案区域	13	3				
table-2	Emoji 塔下方图形与答案区域	13	4				
table-2	Emoji 塔下方图形与答案区域	13	5			L	c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	13	6		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	13	7		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	13	8				
table-2	Emoji 塔下方图形与答案区域	13	9		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	13	10		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	13	11			R	c17-emoji-br
table-2	Emoji 塔下方图形与答案区域	13	12				
table-2	Emoji 塔下方图形与答案区域	13	13				
table-2	Emoji 塔下方图形与答案区域	14	1				
table-2	Emoji 塔下方图形与答案区域	14	2				
table-2	Emoji 塔下方图形与答案区域	14	3				
table-2	Emoji 塔下方图形与答案区域	14	4				
table-2	Emoji 塔下方图形与答案区域	14	5			L	c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	14	6		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	14	7		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	14	8				
table-2	Emoji 塔下方图形与答案区域	14	9		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	14	10		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	14	11			R	c17-emoji-br
table-2	Emoji 塔下方图形与答案区域	14	12				
table-2	Emoji 塔下方图形与答案区域	14	13				
table-2	Emoji 塔下方图形与答案区域	15	1				
table-2	Emoji 塔下方图形与答案区域	15	2				
table-2	Emoji 塔下方图形与答案区域	15	3				
table-2	Emoji 塔下方图形与答案区域	15	4				
table-2	Emoji 塔下方图形与答案区域	15	5			L	c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	15	6		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	15	7		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	15	8				
table-2	Emoji 塔下方图形与答案区域	15	9		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	15	10		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	15	11			R	c17-emoji-br
table-2	Emoji 塔下方图形与答案区域	15	12				
table-2	Emoji 塔下方图形与答案区域	15	13				
table-2	Emoji 塔下方图形与答案区域	16	1				
table-2	Emoji 塔下方图形与答案区域	16	2				
table-2	Emoji 塔下方图形与答案区域	16	3				
table-2	Emoji 塔下方图形与答案区域	16	4				
table-2	Emoji 塔下方图形与答案区域	16	5			L	c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	16	6		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	16	7		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	16	8				
table-2	Emoji 塔下方图形与答案区域	16	9		pink	TRBL	c17-emoji-pink c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	16	10		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	16	11			R	c17-emoji-br
table-2	Emoji 塔下方图形与答案区域	16	12				
table-2	Emoji 塔下方图形与答案区域	16	13				
table-2	Emoji 塔下方图形与答案区域	17	1				
table-2	Emoji 塔下方图形与答案区域	17	2				
table-2	Emoji 塔下方图形与答案区域	17	3				
table-2	Emoji 塔下方图形与答案区域	17	4				
table-2	Emoji 塔下方图形与答案区域	17	5			L	c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	17	6		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	17	7				
table-2	Emoji 塔下方图形与答案区域	17	8				
table-2	Emoji 塔下方图形与答案区域	17	9		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	17	10		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	17	11			R	c17-emoji-br
table-2	Emoji 塔下方图形与答案区域	17	12				
table-2	Emoji 塔下方图形与答案区域	17	13				
table-2	Emoji 塔下方图形与答案区域	18	1				
table-2	Emoji 塔下方图形与答案区域	18	2				
table-2	Emoji 塔下方图形与答案区域	18	3				
table-2	Emoji 塔下方图形与答案区域	18	4				
table-2	Emoji 塔下方图形与答案区域	18	5			L	c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	18	6				
table-2	Emoji 塔下方图形与答案区域	18	7				
table-2	Emoji 塔下方图形与答案区域	18	8				
table-2	Emoji 塔下方图形与答案区域	18	9				
table-2	Emoji 塔下方图形与答案区域	18	10				
table-2	Emoji 塔下方图形与答案区域	18	11			R	c17-emoji-br
table-2	Emoji 塔下方图形与答案区域	18	12				
table-2	Emoji 塔下方图形与答案区域	18	13				
table-2	Emoji 塔下方图形与答案区域	19	1				
table-2	Emoji 塔下方图形与答案区域	19	2				
table-2	Emoji 塔下方图形与答案区域	19	3				
table-2	Emoji 塔下方图形与答案区域	19	4				
table-2	Emoji 塔下方图形与答案区域	19	5			L	c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	19	6		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	19	7				
table-2	Emoji 塔下方图形与答案区域	19	8				
table-2	Emoji 塔下方图形与答案区域	19	9		blue	TRBL	c17-emoji-blue c17-emoji-bt c17-emoji-br c17-emoji-bb c17-emoji-bl
table-2	Emoji 塔下方图形与答案区域	19	10				
table-2	Emoji 塔下方图形与答案区域	19	11			R	c17-emoji-br
table-2	Emoji 塔下方图形与答案区域	19	12				
table-2	Emoji 塔下方图形与答案区域	19	13				
